trial_id,CE_est,Sur1_est,Sur2_est,CE_se,Sur1_se,Sur2_se,Cor_CE_Sur1,Cor_CE_Sur2,Cor_Sur1_Sur2,theta_CE,theta_Sur1,theta_Sur2
1,-0.133753073528435,0.674628165164832,-5.61699369409552,0.1345274764,0.2467573483,2.0208922386,-0.543271849,-0.252533202,-0.0045,-0.189370278273339,0.787975691475794,-6.43166913657582
2,0.312635403505217,0.953662078815536,-7.70898375585192,0.1812155217,0.3735733336,2.9033496245,-0.544447786,-0.292170872,0.0206,0.136454409094213,0.490508251007787,-6.67299487336188
3,-0.79663319223989,1.62201781243244,3.56540570509287,0.1539254119,0.2611220946,2.0994111998,-0.545598492,-0.247012546,0.0052,-0.316251499480962,0.857472141262908,2.08275905377133
4,-0.343384816886131,1.33370966671607,3.45005104511079,0.4338270371,0.4315278969,4.808558606,-0.547490541,-0.092897301,-0.2283,-0.547954295156925,1.45666588961433,1.01780805621082
5,-0.162486057859081,-0.484542004868748,3.81855846192358,0.4265650242,0.4331152129,4.8014941895,-0.522878959,-0.13405678,-0.2185,-0.0652829359646477,-0.710998019156389,5.76814524638804
6,-0.5146879815619,0.565187100075046,5.72974620873645,0.1156836343,0.0844474514,0.8259360712,-0.166774152,-0.15191485,-0.158,-0.325361766892813,0.489186308999709,4.46570697870657
7,-0.340094195027191,0.610036212678547,4.7102381889133,0.1695272011,0.0669054279,0.8237053381,-0.121883681,-0.080661302,-0.2719,-0.289021503662671,0.699513753641516,4.156582128122
8,0.23530707599999,0.424706977478563,-13.71497348034,0.1679044218,0.0669870798,0.8322382445,-0.188103281,-0.155583058,-0.2933,0.223725027253425,0.534185432889912,-13.7498572251903
9,-0.0689898327369102,0.374596041398818,-3.28081286089746,0.0870553791,0.1474880299,0.7620887415,-0.522766194,-0.231764408,-0.0174,-0.0503981986725221,0.401565561446936,-2.41218974261594
10,0.430378323625353,-0.240351067734632,-5.9308337777454,0.4100164786,0.7712257312,4.5079449692,-0.365898557,-0.141972871,0.2968,-0.394818953130823,0.487362165681511,1.45417362144475
11,0.040926448962664,0.248122105822337,0.149211584404753,0.2320833479,0.080396834,0.6902139106,-0.214391141,-0.021788856,-0.1082,-0.00518753927692103,0.222142149319711,0.832428057491326
12,-0.165076246303221,-0.336800866604942,-3.19181326202629,0.0974884893,0.2092615433,1.085708161,-0.227091722,-0.148506252,-0.0092,0.108180816185664,-0.246369594847689,-3.85082315961496
13,-0.421036690029568,0.508641592505972,5.91856871932778,0.2195143273,0.0619047504,0.7743928071,-0.312703094,-0.135156277,-0.0951,-0.396542664904363,0.516858621049432,5.48251226966318
14,-0.32746657894455,1.09723646087212,-3.0149141450197,0.2688103699,0.6848929555,5.9054285719,-0.114148249,-0.278530172,-0.0568,0.00545812825461173,0.31769311363578,-3.03010842020321
15,0.0511702808795871,1.39671154332213,-5.25501120472212,0.2520268824,0.6409318399,2.509427355,-0.207843576,-0.252885436,-0.0661,-0.0648994860524985,0.772519364096303,-5.73840980019097
16,-0.569413277737814,1.11810624597659,1.29104896410217,0.104005655,0.201444526,1.0855762543,-0.45342297,-0.12695634,-0.0682,-0.47033532548577,0.834862612676433,3.46505161395366
17,-0.492669641932336,0.881417514910565,0.267292563362383,0.252954367,0.8736739791,4.9397000143,-0.545852293,-0.25068906,0.0739,-0.409928039360695,1.05268637691702,1.06907843924913
18,0.207224239656443,0.94682848140224,-0.801712782636775,0.4873016714,3.6896119866,18.572262354,-0.539205735,-0.077540913,-0.1541,-0.170798883407152,0.891398524674425,-8.25248720645194
19,-0.36791207665789,1.25779158344521,-1.91626178188231,0.8165070682,0.4753948809,2.8274664325,-0.418052965343548,-0.239467460532258,-0.3877,-0.240457915473511,1.46723345649717,-3.929269265182
20,-0.270361889840752,0.650761812319672,-1.5783058230973,0.0952954364,0.1550553843,0.8311885355,-0.411487458,-0.208929343,-0.1042,-0.425698322534286,1.05458056531069,-2.06711523099079
21,0.279512401758401,-0.641215234562554,11.4577102267146,0.6493523606,1.7204474223,9.4453469622,-0.175634632,-0.170534333,0.0391,0.105045797953338,0.0661298664291167,2.53836140482809
22,-0.22710773769071,-0.092978505573864,5.4209446460736,0.4617633937,1.3082035757,6.514625448,-0.706326613,-0.209114339,0.097,-0.0770911381159487,0.0841519543247948,-0.168262296791023
23,-0.470271930270742,1.70509603817631,-0.636467675763512,0.1586487093,0.1156993037,0.9194468009,-0.219803674,-0.126807587,-0.0354,-0.743427688461185,1.69845943718048,-0.217663507465565
24,0.0562581150619355,0.446655645511149,-7.0889248333216,0.1571475384,0.2438904338,1.1145217762,-0.418052965343548,-0.239467460532258,-0.020019298245614,0.186772175885224,0.471820208633253,-6.08334110562314
25,0.243035135002509,0.00236774909434809,-9.77708884528735,0.0739842889,0.1256861309,0.7453830469,-0.571564985,-0.172973593,-0.0955,0.26143564834896,-0.0622896573810238,-9.14118971763114
26,0.393275937714271,1.60537301135303,24.8422227819777,0.2932496014,4.8736765421,23.445855713,-0.401756085,-0.509038454,0.1912,-0.0591287701337394,0.223551694642281,-1.37836847867989
27,-0.894192585216066,0.965690386648195,-12.646091562169,0.4136892983,0.5408975549,6.0102825677,-0.637579486,-0.141154275,-0.020019298245614,0.0156871163101072,0.201090394351923,-4.85347052949273
28,0.177311930455244,1.36406726291894,-12.1391096013905,0.3917659753,0.2365331287,3.0987052726,-0.367486066,-0.235323907,-0.0911,-0.180844005624025,1.31885695550128,-10.7922666749534
29,0.282480647319641,0.35510809410858,3.25481933753976,0.3874553055,0.2340429874,3.0022738867,-0.368470085,-0.235931765,-0.0885,-0.301518267992062,0.578800512014701,5.09089568918358
30,-0.493736441297142,0.70890085696339,2.23793482665694,0.1762584787,0.2203289896,2.0186802533,-0.480432237,-0.163517514,0.071,-0.333097391204888,0.791551234541171,0.312840147720131
31,-0.658605256060434,2.07007571291627,4.49721656580526,0.3392285978,0.8907767083,3.347975747,-0.67013384,-0.417413839,0.0633,-0.647148203947837,1.2837861611347,5.81883886109356
32,-0.317449980294046,1.4729302891651,0.106152963863945,0.1473035341,0.2464270919,1.2421905671,0.0105306817,-0.297544782,-0.329,-0.425929334915976,1.31993514701373,1.9058878443325
33,0.0123881503275455,0.483211929107772,-8.26138152583977,0.1936170694,0.2853651941,0.8722374166,-0.741732929,-0.804458961,0.5815,-0.10497471816296,0.473159547842628,-8.69994884908064
34,-0.047298520276538,0.196674373314015,-1.68058779931724,0.1154111643,0.3365430406,2.1176391422,-0.481540553,-0.279415676,-0.0744,-0.156287348022933,0.249343298370981,-1.00439001644594
35,-0.183023844070728,0.406118578302431,-1.17790382281951,0.1193328259,0.3323044361,2.0863151595,-0.478940191,-0.296939811,-0.0384,-0.256921257295976,0.813624634552976,-5.27196621276918
36,-0.53366408233251,1.93253382874914,14.4357201976236,0.4834999856,0.7948786072,6.9445134986,-0.378100098,-0.004815923,-0.020019298245614,-0.158471506175765,0.609185974702466,3.95694387739917
37,-0.299162364487809,1.81332816836611,-12.3134077923683,0.3773765873,0.5900212233,6.7204173941,-0.525258703,-0.162582394,-0.020019298245614,-0.316189250303856,1.48491056591713,-5.4166814851055
38,-0.434931755197791,3.11783500538313,-4.82210380874067,0.6763964023,1.6458590011,6.3585247739,-0.418052965343548,-0.239467460532258,-0.020019298245614,-0.405419580361208,1.48443627293399,-5.37258838003173
39,-0.267906719296864,-0.0847493413948799,-3.48822362288658,0.4908819301,0.7188591243,7.1693478216,-0.220980419,-0.226286534,-0.020019298245614,-0.0996868065006644,0.353740732618897,-3.28724266046643
40,0.209288110197781,0.217725623278956,-2.99306851064784,0.4222182509,0.9661508391,2.796350698,-0.615282226,-0.291504194,0.3364,-0.284843065590169,0.88046991804393,-2.43737707082418
41,-1.22525988781237,2.01468111929125,0.916609664949384,0.422161375,0.7575090348,2.5660370811,-0.564410609,-0.48873423,0.0369,-0.461516898550432,1.41972064112973,-2.67238839819933
42,-0.0825572407034231,0.561252104596959,1.40438862080541,0.1300127725,0.096014366,0.8663861148,-0.197377041,-0.158067525,-0.1808,-0.298158301844749,0.473595058675778,3.06378301167828
43,-0.0310284045367464,0.630566080330111,-6.11598674785467,0.1534432065,0.2152982911,1.5367631288,-0.533426532,-0.202078613,-0.0587,-0.0861336628227047,0.55581860079856,-5.55368110721263
44,-0.0794926638028072,0.309451431212511,-3.70937698402722,0.2095847753,0.3954165872,1.8441342619,-0.54850345,-0.180266686,0.0282,-0.156521873072929,0.652164869760488,-4.94902449570852
45,0.194338173882772,-1.05217088950183,-0.148742796700884,0.2095835702,0.3996041488,1.8379963224,-0.556308437,-0.178727255,0.0107,0.118975820345037,-0.46310091104639,0.519071435273359
46,-0.13237826217801,0.438526043241299,-3.10613340671125,0.1658017484,0.4881622582,1.8898097242,-0.683151423,-0.400167219,0.2288,-0.296001781800302,0.645968379963063,-4.37966123861633
47,0.15158625921232,0.594205015387014,-13.7769926030377,0.1664339191,0.4819540725,1.8483955023,-0.687654205,-0.413024189,0.218,0.00728888710670961,0.700434446904938,-13.0695258799508
48,0.242177031850726,-0.346265550642698,-6.21883172752694,0.2232295279,0.3941088924,1.8445554386,-0.599764989,-0.251298858,0.1482,0.36049455149341,-0.625023899107229,-4.31871872421063
49,-0.174187800131824,-0.050085438473072,-6.81685790411944,0.3866807932,0.8969722821,8.1702888384,-0.293892186,-0.298741062,-0.020019298245614,-0.538025274503752,0.189858523637656,11.7085011110851
50,0.0798270083883736,0.41404155263606,-11.6476987417053,0.1411955804,0.5530827517,2.2625212029,-0.702259482,-0.461201834,0.3106,0.284900768493433,-0.1493064963664,-11.423950664456
51,-0.0297109468748319,0.680677101533433,-2.13081019942015,0.1166114862,0.1366411364,0.882742958,-0.250137948,-0.187048862,-0.1137,-0.0598633041046887,0.460246104242522,-3.38960370245424
52,0.2022835833235,-0.110782490770226,-7.90891502798317,0.1756987506,0.0688496775,0.5257336848,-0.226080048,-0.141949285,-0.285,0.0855160489407473,-0.130315237029098,-7.78796001872135
53,0.606775811661878,0.252074528776033,-11.5470313944518,0.2070201494,0.370382607,1.2084435764,-0.418052965343548,-0.239467460532258,-0.2276,0.288789655458582,0.0603912738426036,-10.0196048939189
54,0.237909656963981,-0.837778622596477,-3.81373249635632,0.2382271051,0.6944960157,3.0573285673,-0.539261052,-0.17555161,0.0872,0.0776211194401312,0.472886594846881,-3.12968704176608
55,-0.661499754926236,3.00780705484471,-7.01818613299592,0.220443096,1.4038236412,2.7595038579,-0.500901862,-0.257786102,-0.020019298245614,-0.0744613494594749,0.900768713118278,-5.37818791447102
56,0.379191668464009,0.0493609631175313,-9.64096577749411,0.0908008352,0.2787473583,1.3213935778,-0.606379528,-0.385138214,0.0591,0.423385754500585,0.0696965270884503,-10.4615855566531
57,-0.43678414581069,0.628666410572888,12.0594303955287,0.2270488764,0.3310741399,1.4687305387,-0.592166924,-0.441993197,0.4569,-0.581170050289484,0.575344466354032,12.8829704630847
58,-0.278284998523011,0.773712549917067,-1.7023244925439,0.0400643409,0.0885457681,0.5754359323,-0.506600838,-0.2448838,0.0053,-0.232050765785435,0.787793931957378,-1.8747250808437
59,-0.440526667598479,0.58301149596048,2.39951669372138,0.1486760743,0.2131917892,0.9942526686,-0.471045344,-0.110326631,-0.1233,-0.345051477890306,0.535198481484828,3.54597009121153
60,-0.204526089787471,0.736533687788044,5.62357211757144,0.1833667313,0.0768508782,0.7452885105,-0.081870733,-0.218299101,-0.164,-0.206972967018566,0.725021940912739,5.73341322714693
61,-0.974381353223174,2.66985643746927,3.16261427592027,0.6011754667,0.8668219132,4.3894432253,-0.338633873,-0.142957661,-0.2502,-0.579178921273656,1.3138081479247,0.130794624654071
62,-0.160202833640069,0.522080470206788,-1.9191283732145,0.2519928018,0.5378648273,1.3889543039,-0.380060587,-0.212246719,-0.149,-0.481074823132035,1.09989830026978,-2.14855491790707
63,0.495381935120585,-0.105302098287128,-7.60022672819095,0.1479230026,0.1529329291,1.5785363631,-0.140240617,-0.289193381,-0.2294,0.246625679716367,-0.148234684150036,-4.19686390107433
64,-0.0805611861337675,-0.804336091925814,-3.30236388821161,0.417865269,0.6770487327,5.3026618221,-0.151556091,-0.266670502,0.2007,-0.357708622230925,0.571132802452059,1.26172856661412
65,0.274056958187921,1.32948745296873,-4.66096388947296,0.6465746916,0.5774330129,3.8938455721,-0.573355264,-0.250137763,0.0678,-0.262420197816096,1.20292645787271,-8.74263866778831
66,-0.197515638970779,1.51253996742466,-11.5753417259801,0.3652626907,0.9378353877,4.3201641621,-0.068492918,-0.463584534,-0.020019298245614,-0.446219940077652,1.60726752741788,-7.53831349137212
